name	dataaddr	tableaddr	sizey	sizex	type	category
Timing Unknown B	11d666	e22b8	16		2D	Ignition Timing - Advance
Timing Unknown C	11d8c4	e2418	2		2D	Ignition Timing - Advance
Timing Unknown D1	11d646	e22a4	16		2D	Ignition Timing - Advance
Timing Unknown D2	11d626	e2290	16		2D	Ignition Timing - Advance
Timing Unknown E1	11ce84	e1da8	16		2D	Ignition Timing - Advance
Timing Unknown E2	11cec4	e1de4	4		2D	Ignition Timing - Advance
Timing Unknown F1	11d686	e22cc	16		2D	Ignition Timing - Advance
Timing Unknown G1	11ce9c	e1dbc	2		2D	Ignition Timing - Advance
Timing Unknown G2	11ceb0	e1dd0	4		2D	Ignition Timing - Advance
Timing Unknown H	11d6a6	e22e0	16		2D	Ignition Timing - Advance
Base Timing Idle (In-Gear)(Above Speed Threshold)	11e170		2	10	3D	Ignition Timing - Advance
Base Timing Idle (In-Gear)(Below Speed Threshold)	11cd14		8		2D	Ignition Timing - Advance
Base Timing Idle (Neutral)	11cd3c		8		2D	Ignition Timing - Advance
Base Timing Idle Unknown A	11cd68	e1d30	9		2D	Ignition Timing - Advance
Base Timing Idle Unknown B	11cd71	e1d44	16		2D	Ignition Timing - Advance
Base Timing Idle Unknown C	11cf34		16		2D	Ignition Timing - Advance
Base Timing Idle Vehicle Speed Threshold	11c3c0	11c3c0	1		2D	Ignition Timing - Advance
Knock Correction Advance Max A	11f3f4	e2a28	23	14	3D	Ignition Timing - Advance
Timing Compensation (IAT)	11cfdc		16		2D	Ignition Timing - Compensation
Timing Compensation (IAT) Activation	11e9e0		5	8	3D	Ignition Timing - Compensation
Timing Compensation A (ECT)	11cf5a		16		2D	Ignition Timing - Compensation
Timing Compensation B (ECT)	11cf6a		16		2D	Ignition Timing - Compensation
Timing Compensation Per Cylinder A	11f07c	e2948	6	16	3D	Ignition Timing - Compensation
Timing Compensation Per Cylinder B	11f134	e2964	6	16	3D	Ignition Timing - Compensation
Timing Compensation Per Cylinder C	11f1ec	e2980	6	16	3D	Ignition Timing - Compensation
Timing Compensation Per Cylinder D	11f2a4	e299c	6	16	3D	Ignition Timing - Compensation
Timing Comp Minimum Load (Per Cylinder)	11c5ec		1		2D	Ignition Timing - Compensation
Timing Comp Maximum RPM (Per Cylinder)	11c5e8		1		2D	Ignition Timing - Compensation
Timing Comp Minimum Coolant Temp (Per Cylinder)	11c5f0		1		2D	Ignition Timing - Compensation
Feedback Correction Range (RPM)	11c5fc		4		2D	Ignition Timing - Knock Control
Feedback Correction Minimum Load	11c5f4	11c5f4	2		2D	Ignition Timing - Knock Control
Feedback Correction Retard Value	11c61c	11c61c	1		2D	Ignition Timing - Knock Control
Feedback Correction Retard Limit	11c618	11c618	1		2D	Ignition Timing - Knock Control
Feedback Correction Negative Advance Value	11c620	11c620	1		2D	Ignition Timing - Knock Control
Feedback Correction Negative Advance Delay	11c2c0	11c2c0	1		2D	Ignition Timing - Knock Control
Fine Correction Range (RPM)	11c7c0		4		2D	Ignition Timing - Knock Control
Fine Correction Range (Load)	11c7d0		4		2D	Ignition Timing - Knock Control
Fine Correction Rows (RPM)	11c75c		6		2D	Ignition Timing - Knock Control
Fine Correction Columns (Load)	11c778		4		2D	Ignition Timing - Knock Control
Fine Correction Retard Value	11c798	11c798	1		2D	Ignition Timing - Knock Control
Fine Correction Retard Limit	11c7b4	11c7b4	1		2D	Ignition Timing - Knock Control
Fine Correction Advance Value	11c794	11c794	1		2D	Ignition Timing - Knock Control
Fine Correction Advance Limit	11c790	11c790	1		2D	Ignition Timing - Knock Control
Fine Correction Advance Delay	11c2d0	11c2d0	1		2D	Ignition Timing - Knock Control
Rough Correction Range (RPM)	11c70c		4		2D	Ignition Timing - Knock Control
Rough Correction Range (Load)	11c71c		4		2D	Ignition Timing - Knock Control
Rough Correction Minimum KC Advance Map Value	11c72c		1		2D	Ignition Timing - Knock Control
Advance Multiplier (Initial)	11c730		1		2D	Ignition Timing - Knock Control
Advance Multiplier Step Value	11c734		1		2D	Ignition Timing - Knock Control
Knock Sensor Calibration	1268e4	e4208	87		2D	Ignition Timing - Knock Control
Knock Threshold	11dff8	e2550	7	5	3D	Ignition Timing - Knock Control
Requested Torque A (Accelerator Pedal)	103a4c		18	16	3D	Drive-by-Wire Throttle (DBW)
Requested Torque B (Accelerator Pedal)	13cd80		23	16	3D	Drive-by-Wire Throttle (DBW)
Target Throttle Plate Position Maximum (Requested Torque)	13c864		23	21	3D	Drive-by-Wire Throttle (DBW)
Rev Limit A (Fuel Cut)	112060		2		2D	Miscellaneous - Limits
Rev Limit B	112068	112068	2		2D	Miscellaneous - Limits
Rev Limit Fuel Resume (MP)	112070		1		2D	Miscellaneous - Limits
Speed Limiting Enable (Fuel Cut)	112078		1		2D	Miscellaneous - Limits
Speed Limiting Disable (Fuel Cut)	112074		1		2D	Miscellaneous - Limits
Speed Limiting A (Throttle) SI-DRIVE Sport/Sport Sharp	13c344		2		2D	Miscellaneous - Limits
Speed Limiting B (Throttle) SI-DRIVE Sport/Sport Sharp	13c350		2		2D	Miscellaneous - Limits
Speed Limiting A (Throttle) SI-DRIVE Intelligent	13c35c		2		2D	Miscellaneous - Limits
Speed Limiting B (Throttle) SI-DRIVE Intelligent	13c368		2		2D	Miscellaneous - Limits
Intake Temp Sensor Scaling	126aec	e4228	30		2D	Miscellaneous - Sensor Scalings
Coolant Temp Sensor Scaling	126a04	e421c	28		2D	Miscellaneous - Sensor Scalings
Radiator Fan Modes A (ECT)	1253e0		4		2D	Miscellaneous - Thresholds
Radiator Fan Modes B (ECT)	1253f0		4		2D	Miscellaneous - Thresholds
Radiator Fan Modes (Veh. Speed)	125400		6		2D	Miscellaneous - Thresholds
Gear Shift Indicator A (Load Correction)	1025ac		6		2D	Miscellaneous - Thresholds
Gear Shift Indicator B (Load)	102840		16		2D	Miscellaneous - Thresholds
Gear Shift Indicator C (RPM Correction)	102898		6		2D	Miscellaneous - Thresholds
Gear Shift Indicator D (Min Speed)	1025c8		1		2D	Miscellaneous - Thresholds
Gear Determination Thresholds A	104a18		5		2D	Miscellaneous - Thresholds
Gear Determination Thresholds B	104a2c		5		2D	Miscellaneous - Thresholds
Idle Speed Target A	1210b8	e3018	16		2D	Idle Control
Idle Speed Target B	1210d8	e302c	16		2D	Idle Control
Idle Speed Target C	1210f8	e3040	16		2D	Idle Control
Idle Speed Target D	121118	e3054	16		2D	Idle Control
Idle Speed Target E	121138	e3068	16		2D	Idle Control
Idle Speed Target F	121158	e307c	16		2D	Idle Control
Idle Speed Target G	121178	e3090	16		2D	Idle Control
Idle Speed Target H	1211d8	e30a4	16		2D	Idle Control
Idle Speed Target I	121238	e30b8	16		2D	Idle Control
Idle Speed Target J	121298	e30cc	16		2D	Idle Control
Idle Speed Target K	1212f8	e30e0	16		2D	Idle Control
Idle Speed Target L	121358	e30f4	16		2D	Idle Control
Idle Speed Stability A	122a3c		11	16	3D	Idle Control
Idle Speed Stability B	122c08		11	16	3D	Idle Control
Idle Speed Stability Additive	1213b4		6		2D	Idle Control
Ignition Dwell	127210	e42dc	5	16	3D	Miscellaneous - Sensor Scalings
AFR Sensor Heater Protection	1006a8	dc6c8	5		2D	Fueling - O2 Sensor #1
AFR Sensor Heater Duty Cycle A	10077c		4		2D	Fueling - O2 Sensor #1
AFR Sensor Heater Duty Cycle B	100794		4		2D	Fueling - O2 Sensor #1
AFR Sensor Heating Limit	100e38	dc7ac	6	6	3D	Fueling - O2 Sensor #1
Fuel Multiplier Display Offset	10272c		5		2D	Miscellaneous - Other
Calculated Torque A	102c44	dcb0c	23	13	3D	Drive-by-Wire Throttle (DBW)
Calculated Torque B	102f24	dcb28	23	11	3D	Drive-by-Wire Throttle (DBW)
Post Cranking Airflow Initial Reference Coolant	104c28		16		2D	Fueling - Cranking
Post Cranking Load Initial Reference Coolant	104d30	dd1f8	16		2D	Fueling - Cranking
Cylinder Fill Percentage	1080ec		22	16	3D	Mass Airflow / Engine Load
Solenoid Control	108acc	ddcb8	5	7	3D	CPC Solenoid
Solenoid Duty	108b7c	ddcd4	13	13	3D	CPC Solenoid
Misfire Count MAP Threshold A	10a3a2	ddd4c	13		2D	Miscellaneous - Thresholds
Misfire Count MAP Threshold B	10a3af	ddd60	13		2D	Miscellaneous - Thresholds
Misfire DTC Threshold	10cd4c	dec64	19	14	3D	Miscellaneous - Thresholds
AFR Minimum Correction	112b4c	df7d4	9		2D	Alpha - BRZ
AFR Maximum Correction	112b7c	df7e8	9		2D	Alpha - BRZ
Port Injection MRP Compensation	114cf0	e07e4	8		2D	Fueling - Port Injectors
Direct Injection Quantity Maximum	114d40		12		2D	Fueling - GDI
Direct Injection Quantity Minimum	114d88		6		2D	Fueling - GDI
GDI Firing Angle Cold Idle	115b64	e0a40	2	2	3D	Fueling - GDI
GDI Firing Angle High Load Cold	115bd8	e0a5c	17	11	3D	Fueling - GDI
GDI Firing Angle High Load Hot	115ca4	e0a78	2	2	3D	Fueling - GDI
GDI Firing Angle Low Load Cold	115cb8	e0a94	2	2	3D	Fueling - GDI
GDI Firing Angle Low Load Hot	115ccc	e0ab0	2	2	3D	Fueling - GDI
GDI Firing Angle Cold Idle (Override)	5ff7c		4		Switch	Fueling - GDI
GDI Firing Angle High Load Hot (Override)	5ff8c		4		Switch	Fueling - GDI
GDI Firing Angle Low Load Cold (Override)	5ff90		4		Switch	Fueling - GDI
